year,age,gender,occupation,stop_daily_activities,social_use,depressed,sleep_issues,source
2022,22,Female,University Student,Yes,More than 5 hours,Always,Yes,Kaggle
2022,26,Male,University Student,No,Between 4 and 5 hours,Most of the time,No,Kaggle
2022,24,Female,Salaried Worker,No,Between 3 and 4 hours,Sometimes,Yes,Kaggle
2022,22,Female,University Student,Yes,Between 2 and 3 hours,Sometimes,Yes,Kaggle
2022,25,Female,University Student,No,Between 3 and 4 hours,Most of the time,No,Kaggle
2022,21,Female,University Student,Yes,Between 4 and 5 hours,Most of the time,Yes,Kaggle
2022,20,Female,University Student,Yes,Between 2 and 3 hours,Always,Yes,Kaggle
2022,22,Female,University Student,No,Between 1 and 2 hours,Never,No,Kaggle
2022,25,Female,Salaried Worker,No,Between 2 and 3 hours,Rarely,No,Kaggle
2022,17,Male,School Student,No,Between 4 and 5 hours,Most of the time,No,Kaggle
2022,22,Female,University Student,Yes,Between 2 and 3 hours,Most of the time,Yes,Kaggle
2022,26,Male,University Student,Yes,Between 1 and 2 hours,Sometimes,No,Kaggle
2022,22,Female,University Student,Yes,Between 2 and 3 hours,Always,No,Kaggle
2022,23,Male,University Student,No,Between 2 and 3 hours,Always,Yes,Kaggle
2022,25,Male,Salaried Worker,Yes,Between 2 and 3 hours,Always,Yes,Kaggle
2022,21,Male,School Student,Yes,Between 2 and 3 hours,Most of the time,No,Kaggle
2022,30,Female,Salaried Worker,Yes,Between 2 and 3 hours,Most of the time,Yes,Kaggle
2022,23,Female,University Student,Yes,Between 3 and 4 hours,Sometimes,No,Kaggle
2022,22,Male,Salaried Worker,Yes,Between 4 and 5 hours,Sometimes,No,Kaggle
2022,21,Female,University Student,Yes,Between 4 and 5 hours,Always,No,Kaggle
2022,20,Female,University Student,Yes,Between 3 and 4 hours,Never,No,Kaggle
2022,18,Female,University Student,Yes,More than 5 hours,Rarely,Yes,Kaggle
2022,20,Female,University Student,Yes,Between 3 and 4 hours,Rarely,No,Kaggle
2022,15,Female,School Student,Yes,Between 3 and 4 hours,Always,Yes,Kaggle
2022,22,Male,University Student,Yes,More than 5 hours,Sometimes,Yes,Kaggle
2022,17,Female,School Student,Yes,More than 5 hours,Rarely,No,Kaggle
2022,21,Male,University Student,Yes,Between 1 and 2 hours,Always,Yes,Kaggle
2022,22,Female,University Student,Yes,More than 5 hours,Most of the time,Yes,Kaggle
2022,23,Female,University Student,Yes,More than 5 hours,Sometimes,Yes,Kaggle
2022,24,Male,University Student,No,Between 3 and 4 hours,Sometimes,No,Kaggle
2022,21,Female,University Student,Yes,More than 5 hours,Always,Yes,Kaggle
2022,22,Female,University Student,Yes,More than 5 hours,Always,Yes,Kaggle
2022,22,Female,University Student,Yes,More than 5 hours,Always,Yes,Kaggle
2022,21,Female,University Student,Yes,More than 5 hours,Always,Yes,Kaggle
2022,21,Female,University Student,No,More than 5 hours,Most of the time,Yes,Kaggle
2022,18,Male,School Student,Yes,More than 5 hours,Sometimes,Yes,Kaggle
2022,19,Male,University Student,No,Less than an Hour,Rarely,Yes,Kaggle
2022,22,Male,University Student,No,More than 5 hours,Always,Yes,Kaggle
2022,21,Female,University Student,Yes,Between 3 and 4 hours,Always,Yes,Kaggle
2022,22,Male,University Student,Yes,Between 2 and 3 hours,Always,Yes,Kaggle
2022,21,Female,University Student,Yes,Between 2 and 3 hours,Most of the time,No,Kaggle
2022,23,Male,University Student,Yes,Between 2 and 3 hours,Most of the time,Yes,Kaggle
2022,19,Male,University Student,Yes,Between 3 and 4 hours,Never,Yes,Kaggle
2022,26,Male,Salaried Worker,No,Between 2 and 3 hours,Most of the time,No,Kaggle
2022,27,Male,Salaried Worker,No,Between 2 and 3 hours,Sometimes,No,Kaggle
2022,25,Female,University Student,No,More than 5 hours,Always,Yes,Kaggle
2022,20,Female,University Student,Yes,Between 4 and 5 hours,Sometimes,No,Kaggle
2022,20,Female,University Student,Yes,More than 5 hours,Most of the time,No,Kaggle
2022,22,Male,University Student,No,Between 3 and 4 hours,Never,No,Kaggle
2022,18,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,Kaggle
2022,22,Male,University Student,No,Between 2 and 3 hours,Sometimes,No,Kaggle
2022,20,Male,Salaried Worker,Yes,Between 1 and 2 hours,Always,No,Kaggle
2022,24,Male,Salaried Worker,Yes,More than 5 hours,Sometimes,No,Kaggle
